word_key,micro_skill_key,micro_skill_role,difficulty_band,evidence_weight,display_order,source_category,source_name,source_url,source_licence,source_use_note,confidence,review_status,drop_reason
aloud_en_gb,D4_HOM_CONTENT_WORD_HOMOPHONES_COMMON_VERB_NOUN_PAIRS,diagnostic,medium,0.5,3004,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: allowed.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
passed_en_gb,D4_HOM_CONTENT_WORD_HOMOPHONES_COMMON_VERB_NOUN_PAIRS,diagnostic,medium,0.5,3100,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: past.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
piece_en_gb,D4_HOM_CONTENT_WORD_HOMOPHONES_PEACE_PIECE,diagnostic,medium,0.5,3106,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: peace.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
write_en_gb,D4_HOM_CONTENT_WORD_HOMOPHONES_RIGHT_WRITE,diagnostic,medium,0.5,3169,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: right.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
it_s_en_gb,D4_HOM_CONTRACTION_POSSESSIVE_ITS_ITS,diagnostic,medium,0.5,3075,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: its.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
whose_en_gb,D4_HOM_CONTRACTION_POSSESSIVE_WHOS_WHOSE,diagnostic,medium,0.5,3161,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: whos.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
your_en_gb,D4_HOM_CONTRACTION_POSSESSIVE_YOUR_YOURE,diagnostic,medium,0.5,3172,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: youre.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
you_re_en_gb,D4_HOM_CONTRACTION_POSSESSIVE_YOUR_YOURE,diagnostic,medium,0.5,3173,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: your.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
their_en_gb,D4_HOM_FUNCTION_WORD_HOMOPHONES_THERE_THEIR_THEYRE,diagnostic,medium,0.5,3141,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: there.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
there_en_gb,D4_HOM_FUNCTION_WORD_HOMOPHONES_THERE_THEIR_THEYRE,diagnostic,medium,0.5,3142,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: their.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
they_re_en_gb,D4_HOM_FUNCTION_WORD_HOMOPHONES_THERE_THEIR_THEYRE,diagnostic,medium,0.5,3143,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: theyre.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
to_en_gb,D4_HOM_FUNCTION_WORD_HOMOPHONES_TO_TOO_TWO,diagnostic,medium,0.5,3146,internal_reviewed_seed,Common misspellings seed v1,docs/implementation/seed-data/common_misspellings_seed_v1.csv,,"Repo-owned curated misspelling examples; candidate evidence only, not learner evidence, resolver truth, or final teaching truth. Aggregates 1 misspelling seed row(s), including: too.",medium,in_review,Role 'diagnostic' is outside simplified Teaching Dictionary ownership.
